task,model_name,accuracy,precision,recall,f1,balanced_accuracy,brier_score_loss,confusion_matrix,roc_auc,average_precision,train_size,test_size,cv_mean,cv_std
task_b,dummy,0.631578947368421,0.631578947368421,1.0,0.7741935483870968,0.5,0.3684210526315789,"[[0, 14], [0, 24]]",0.5,0.631578947368421,112,38,0.7704081632653061,0.01020408163265305
task_b,logistic_regression,0.9210526315789473,0.9565217391304348,0.9166666666666666,0.9361702127659575,0.9226190476190477,0.04758217377114943,"[[13, 1], [2, 22]]",0.9910714285714286,0.9950587606837604,112,38,0.9561561561561561,0.04480818607470148
task_b,random_forest,0.9736842105263158,1.0,0.9583333333333334,0.9787234042553191,0.9791666666666667,0.03949561403508772,"[[14, 0], [1, 23]]",0.988095238095238,0.9940476190476191,112,38,0.9552295152295152,0.045609421054984896
task_b,extra_trees,0.9473684210526315,1.0,0.9166666666666666,0.9565217391304348,0.9583333333333333,0.030796783625730993,"[[14, 0], [2, 22]]",0.9970238095238095,0.9983333333333333,112,38,0.9552295152295152,0.045609421054984896
task_b,gradient_boosting,0.9736842105263158,0.96,1.0,0.9795918367346939,0.9642857142857143,0.020321380021898126,"[[13, 1], [0, 24]]",1.0,1.0,112,38,0.9632782580151001,0.026098779947032736
task_b,calibrated_random_forest,0.9210526315789473,0.9565217391304348,0.9166666666666666,0.9361702127659575,0.9226190476190477,0.048726132438777915,"[[13, 1], [2, 22]]",0.9851190476190477,0.9923115079365079,112,38,0.9552295152295152,0.045609421054984896
