task,model_name,feature,importance_mean,importance_std
task_b,random_forest,project_age_days,0.008880666049953722,0.010876550199222223
task_b,random_forest,days_since_update,0.058909478685091,0.027375917927904735
task_b,random_forest,log_stars,0.017761332099907445,0.008880666049953722
task_b,random_forest,log_forks,0.022201665124884307,0.0
task_b,random_forest,stars_per_day,0.013320999074930584,0.010876550199222223
task_b,random_forest,forks_per_star,0.013320999074930584,0.010876550199222223
task_b,random_forest,issue_pressure,0.004440333024976861,0.008880666049953722
task_b,random_forest,topic_count,0.0,0.0
task_b,random_forest,readme_length,0.022201665124884307,0.0
task_b,random_forest,has_install_section,0.0,0.0
task_b,random_forest,has_quickstart,0.0081560283687943,0.009989053915605126
task_b,random_forest,has_demo,0.0081560283687943,0.009989053915605126
task_b,random_forest,has_example,0.0081560283687943,0.009989053915605126
task_b,random_forest,has_requirements,0.0,0.0
task_b,random_forest,mentions_gpu,0.004440333024976861,0.008880666049953722
task_b,random_forest,mentions_cpu,0.0081560283687943,0.009989053915605126
task_b,random_forest,mentions_api_key,0.004440333024976861,0.008880666049953722
task_b,random_forest,mentions_docker,0.0081560283687943,0.009989053915605126
task_b,random_forest,agent_keyword_count,0.017761332099907445,0.008880666049953722
task_b,random_forest,agent_relevance_score,0.0,0.0
task_b,random_forest,reproducibility_score,0.0081560283687943,0.009989053915605126
task_b,extra_trees,stars_total,0.0,0.0
task_b,extra_trees,forks_total,0.0,0.0
task_b,extra_trees,watchers_total,-0.004440333024976861,0.008880666049953722
task_b,extra_trees,open_issues_count,0.0,0.0
task_b,extra_trees,size,0.0,0.0
task_b,extra_trees,stars_this_week,-0.013320999074930584,0.010876550199222223
task_b,extra_trees,project_age_days,0.0,0.0
task_b,extra_trees,days_since_update,0.016281221091581876,0.008140610545790936
task_b,extra_trees,log_stars,0.0,0.0
task_b,extra_trees,log_forks,0.0,0.0
task_b,extra_trees,stars_per_day,0.0,0.0
task_b,extra_trees,forks_per_star,0.0,0.0
task_b,extra_trees,issue_pressure,0.0,0.0
task_b,extra_trees,topic_count,0.0,0.0
task_b,extra_trees,readme_length,0.0,0.0
task_b,extra_trees,has_install_section,0.0,0.0
task_b,extra_trees,has_quickstart,-0.017761332099907445,0.008880666049953722
task_b,extra_trees,has_demo,-0.026811594202898536,0.02041241452319313
task_b,extra_trees,has_example,-0.009613012642614827,0.016936104874127004
task_b,extra_trees,has_requirements,0.0,0.0
task_b,extra_trees,mentions_gpu,0.0,0.0
task_b,extra_trees,mentions_cpu,0.0,0.0
